job_title,company,location,detected_job_role,skill_match_percentage,matched_skills,role_skill_gaps,exact_role_match,final_precise_score,redirect_url,latitude,longitude,company_address
Performance Tester / Test Lead,Kyndryl,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5837139314?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=9CEF39B16CE176CE3DF3886D731317BE23D7D5E2,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Process Associate,HCLTech,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5835510668?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=540BB54E2E66F1A85DA0CDA92BF2B36C6EBD22FF,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Regional Operations Manager - Bharat,Aditya Birla Lifestyle Brands Limited,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818524385?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=50E5F4868D1037F4B9813C9FAA933BC0A931C2EB,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Relationship Manager,Policybazaar.com,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5823898220?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=E562575B4B5D5A759D6C50BF123D2122B5B00475,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Sales Coordinator,NTL India Limited,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5724227502?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=17EFC2E69D040124E879985E6463AB0053D8F50F,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Senior Compliance Manager,Straive,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5830532224?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=31274EF4F30BB1CD78EA33B3BB980B865B24544A,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Team Lead,TP,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5838134820?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=C34BCFAE61C592D631166BBB828B5E586697F692,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Test Manager,Kyndryl,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5837139316?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=4679ECA64914ABA6CA70FCA506A03FFAB7625AD0,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Trade Finance - Associate,Mizuho,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5833789608?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=14443EA4D2EC75E9C5BD56F994E2B7DE9637594D,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Transcreation Account Manager,WPP Production,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5785772992?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=E13B570F1EFBC9A8198BA31EC2ADFD587F3CE160,13.06041,80.24963,"India, Tamil Nadu, Chennai"
